text,trafficflow
low traffic,0
Clear roadways,0
enjoyable driving conditions,0
A broken-down bus is blocking one lane on the city’s main road.,1
standstill traffic,1
Late-night hours saw minimal traffic on the city streets.,0
heavy commute times,1
crowded roadways,1
A pile-up on the highway has led to a major traffic jam.,1
Uncluttered streets,0
Pure,0
An ongoing parade route is blocking the main street in the downtown area.,1
"Flood warnings are making vehicles take alternate, congested routes.",1
Clear signage and well-timed lights kept the roads nearly empty.,0
thick traffic atmosphere,1
Low accident rates contributed to smoother flow on all main roads.,0
packed streets,1
Low rush hour,0
Resplendent,0
Transpicuous,0
Evident,0
An overturned vehicle is blocking two lanes and causing major delays.,1
limited traffic,0
Traffic void,0
heavy flow,1
low traffic,0
"Lane closures have been lifted, allowing for smoother traffic on the bridge.",0
Streamlined,0
Upgraded highways have significantly reduced city congestion.,0
Detours around a broken bridge are causing delays on alternate routes.,1
Clear road conditions were reported with low vehicle presence.,0
Fallen rocks on the road due to landslides are impacting traffic.,1
Congested highway,1
Traffic jammed,1
Good visibility due to clear weather helped reduce delays.,0
Sparse vehicle movement,0
"Daily commutes were smooth, with light traffic in most areas.",0
Foggy conditions are forcing drivers to move at a crawl on the highway.,1
Traffic is at a standstill due to high commuter volume.,1
frequent hold-ups in traffic,1
Traffic choke points,1
Roadwork is contributing to citywide traffic delays.,1
School holidays contributed to less congestion in school zones.,0
"With minimal lane closures, traffic moved freely on main streets.",0
The bypass route is heavily congested due to bridge construction.,1
reduced traffic,0
Traffic absence,0
Lane narrowing for construction is creating a bottleneck effect.,1
Self-evident,0
Sparse road conditions,0
The city’s new bike-sharing program has helped lower car traffic.,0
Slippery roads are adding to the usual traffic.,1
Limited vehicle movement,0
Smooth driving,0
Open roads with no construction allowed for smooth movement.,0
Pavement repairs in the city center are causing detours and delays.,1
Lane closures for bridge repairs are causing severe congestion.,1
Morning errands saw light traffic on suburban roads.,0
long tailbacks,1
Crowded highways,1
Uncongested passageways,0
stop-and-go traffic,1
traffic is light,0
Free flowing traffic,0
Crystal-clear,0
Streamlined,0
Tranquil,0
Unoccupied parking spots,0
Low traffic density,0
Heavy traffic due to construction.,1
Moderate,0
Traffic bottleneck,1
major congestion on main roads,1
no light traffic,1
Overpopulated roads,1
Congested commutes,1
The roads are congested due to morning rush hour.,1
Smooth transit,0
Rapid traffic,0
Unrestricted driving,0
A pile-up on the highway has led to a major traffic jam.,1
abundant flow,1
sparse traffic,0
Gentle breeze,0
dense traffic flow,1
Overflowing traffic,1
heavy traffic due to an accident,1
Clogged arteries,1
There’s significant traffic on the way to the business district.,1
Early hours saw low traffic as clear skies supported smooth travel.,0
Freeway expansion projects have helped maintain low traffic.,0
Roadwork is contributing to citywide traffic delays.,1
Vivid,0
rush hours,1
Off-season tourism contributed to low traffic on coastal roads.,0
Overloaded roads,1
Lightweight,0
Weather alerts are causing people to take extra caution on highways.,1
rush hour gridlock,1
Detours around a broken bridge are causing delays on alternate routes.,1
Thin traffic,0
Few cars,0
Pavement repairs in the city center are causing detours and delays.,1
Sandstorm warnings have slowed down traffic in the desert areas.,1
Roadblock for a protest rally is diverting vehicles to smaller roads.,1
A high volume of cars has led to traffic buildup on the freeway.,1
Road clearances kept the traffic light on the highway.,0
slow-moving traffic lanes,1
Smooth ride,0
Unoccupied parking spots,0
rapid flow,1
Packed highways,1
road blocked; please detour,1
The road was empty during the early afternoon due to clear conditions.,0
substantial flow,1
Quickly resolved accidents helped maintain smooth road flow.,0
Easy driving conditions,0
Traffic is at a standstill due to high commuter volume.,1
"Clear roads, no delays",0
traffic is flowing well,0
Empty highways,0
Accident-free routes contributed to minimal traffic delays.,0
Traffic absence,0
Traffic has slowed to a halt due to a sudden downpour.,1
Traffic ease,0
The presence of alternate routes helped reduce main road traffic.,0
Lucid,0
Traffic heavy,1
substantial flow,1
Few cars,0
The early weekend rush led to a low-traffic Saturday afternoon.,0
A carnival downtown has led to street closures and heavy traffic.,1
Low congestion periods,0
limited movement during peak hours,1
Pothole filling on narrow lanes is slowing down the flow of traffic.,1
"Flooding has closed down several lanes, resulting in massive congestion.",1
Quick cleanup of debris allowed for low congestion on the road.,0
Slow moving traffic ahead.,1
Open freeway,0
"Clear roads, no delays",0
There’s heavy traffic on all routes leading downtown.,1
